ORDER,TEAM,PLAYER,POSITION,COLLEGE,PHASE,ROUND,CONFERENCE,STATE
1,Defenders,Tyree Jackson,QB,Buffalo,1: Skill,9,FBS - MAC,New York
2,Roughnecks,Andre Williams,RB,Boston College,1: Skill,9,ACC,Massachusetts
3,Guardians,Darius Victor,RB,Towson,1: Skill,9,FCS,Maryland
4,Renegades,Donald Parham,TE,Stetson,1: Skill,9,FCS,Florida
5,Vipers,Taylor Cornelius,QB,Oklahoma State,1: Skill,9,Big 12,Oklahoma
6,BattleHawks,Alonzo Russell,WR,Toledo,1: Skill,9,FBS - MAC,Ohio
7,Dragons,Cam Clear,TE,Texas A&M,1: Skill,9,SEC,Texas
8,Wildcats,Scott Orndoff,TE,Pittsburgh,1: Skill,9,,
1,Wildcats,Donteea Dye,WR,Heidelberg,1: Skill,10,D3,Ohio
2,Dragons,Malachi Jones,WR,Appalachian State,1: Skill,10,FBS - Sun Belt,North Carolina
3,BattleHawks,Jordan Lasley,WR,UCLA,1: Skill,10,Pac 12,California
4,Vipers,Alonzo Moore,WR,Nebraska,1: Skill,10,Big Ten,Nebraska
5,Renegades,Dimitri Flowers,RB,Oklahoma,1: Skill,10,Big 12,Oklahoma
6,Guardians,Marquise Williams,QB,North Carolina,1: Skill,10,ACC,North Carolina
7,Roughnecks,Nick Holley,RB,Kent State,1: Skill,10,FBS - MAC,Ohio
8,Defenders,Adrien Robinson,TE,Cincinnati,1: Skill,10,FBS - AAC,Ohio
1,Wildcats,Storm Norton,OT,Toledo,2: OL,1,FBS - MAC,Ohio
2,Dragons,Isaiah Battle,OT,Clemson,2: OL,1,ACC,South Carolina
3,BattleHawks,Matt McCants,OT,Alabama-Birmingham,2: OL,1,,
4,Vipers,Jordan McCray,OC,Central Florida,2: OL,1,,
5,Renegades,Willie Beavers,OT,Western Michigan,2: OL,1,FBS - MAC,Michigan
6,Guardians,Jarron Jones,OT,Notre Dame,2: OL,1,FBS - Independent,Indiana
7,Roughnecks,Cornelius Edison,OT,Portland State,2: OL,1,FCS,Oregon
8,Defenders,Kyle Murphy,OT,Stanford,2: OL,1,Pac 12,California
1,Defenders,Logan Tuley-Tillman,OT,Michigan,2: OL,2,Big Ten,Michigan
2,Roughnecks,Terry Poole,OT,San Diego State,2: OL,2,FBS - Mountain West,California
3,Guardians,Cyrus Kouandjio,OT,Alabama,2: OL,2,SEC,Alabama
4,Renegades,Pace Murphy,OT,Northwestern State,2: OL,2,FCS,Louisiana
5,Vipers,Martez Ivey,OT,Florida,2: OL,2,SEC,Florida
6,BattleHawks,Brian Folkerts,OG,Washburn,2: OL,2,D2,Kansas
7,Dragons,Venzell Boulware,OG,Tennessee,2: OL,2,SEC,Tennessee
8,Wildcats,Fred Lauina,OG,Oregon State,2: OL,2,Pac 12,Oregon
1,Wildcats,Ryan Pope,OT,San Diego State,2: OL,3,FBS - Mountain West,California
2,Dragons,Dillon Day,OC,Mississippi State,2: OL,3,SEC,Mississippi
3,BattleHawks,Dallas Thomas,OG,Tennessee,2: OL,3,SEC,Tennessee
4,Vipers,Isaiah Williams,OG,Akron,2: OL,3,FBS - MAC,Ohio
5,Renegades,Maurquice Shakir,OG,Middle Tennessee State,2: OL,3,,
6,Guardians,Parker Collins,OC,Appalachian State,2: OL,3,FBS - Sun Belt,North Carolina
7,Roughnecks,Avery Gennesy,OT,Texas A&M,2: OL,3,SEC,Texas
8,Defenders,De'Ondre Wesley,OT,BYU,2: OL,3,FBS - Independent,Utah
1,Defenders,Jon Toth,OC,Kentucky,2: OL,4,SEC,Kentucky
2,Roughnecks,Demetrius Rhaney,OC,Tennessee State,2: OL,4,FCS,Tennessee
3,Guardians,Anthony Coyle,OG,Fordham,2: OL,4,FCS,New York
4,Renegades,Darius James,OT,Auburn,2: OL,4,SEC,Alabama
5,Vipers,Andrew Tiller,OG,Syracuse,2: OL,4,ACC,New York
6,BattleHawks,Kent Perkins,OT,Texas,2: OL,4,Big 12,Texas
7,Dragons,Cyril Richardson,OG,Baylor,2: OL,4,Big 12,Texas
8,Wildcats,Jaelin Robinson,OT,Temple,2: OL,4,FBS - AAC,Pennsylvania
1,Wildcats,Damien Mama,OG,USC,2: OL,5,Pac 12,California
2,Dragons,Quinterrius Eatmon,OT,South Florida,2: OL,5,FBS - AAC,Florida
3,BattleHawks,Jake Campos,OG,Iowa State,2: OL,5,Big 12,Iowa
4,Vipers,Tre Jackson,OG,Florida State,2: OL,5,ACC,Florida
5,Renegades,Alex Balducci,OC,Oregon,2: OL,5,Pac 12,Oregon
6,Guardians,Zac Kerin,OG,Toledo,2: OL,5,FBS - MAC,Ohio
7,Roughnecks,Marquez Tucker,OG,Southern Utah,2: OL,5,FCS,Utah
8,Defenders,Rishard Cook,OG,Alabama-Birmingham,2: OL,5,,
1,Defenders,Chris Brown,OG,USC,2: OL,6,Pac 12,California
2,Roughnecks,Gerhard de Beer,OT,Arizona,2: OL,6,Pac 12,Arizona
3,Guardians,Brian Fineanganofo,OT,Idaho State,2: OL,6,FCS,Idaho
4,Renegades,Josh Allen,OG,Lousiana Monroe,2: OL,6,,
5,Vipers,Christian Morris,OT,Ole Miss,2: OL,6,SEC,Mississippi
6,BattleHawks,Tyler Gauthier,OC,Miami,2: OL,6,,
7,Dragons,Michael Dunn,OT,Maryland,2: OL,6,Big Ten,Maryland
8,Wildcats,Nico Siragusa,OG,San Diego State,2: OL,6,FBS - Mountain West,California
1,Wildcats,Ryan Cummings,OG,Wyoming,2: OL,7,FBS - Mountain West,Wyoming
2,Dragons,Kirk Barron,OC,Purdue,2: OL,7,Big Ten,Indiana
3,BattleHawks,Blake Muir,OG,Baylor,2: OL,7,Big 12,Texas
4,Vipers,Tony Adams,OG,NC State,2: OL,7,ACC,North Carolina
5,Renegades,Adam Bisnowaty,OT,Pittsburgh,2: OL,7,,
6,Guardians,John Kling,OT,Buffalo,2: OL,7,FBS - MAC,New York
7,Roughnecks,Patrick Lewis,OC,Texas A&M,2: OL,7,SEC,Texas
8,Defenders,Toby Weathersby,OT,LSU,2: OL,7,SEC,Louisiana
1,Defenders,James O'Hagan,OC,Buffalo,2: OL,8,FBS - MAC,New York
2,Roughnecks,Ryan Anderson,OC,Wake Forest,2: OL,8,ACC,North Carolina
3,Guardians,Ian Silberman,OG,Boston College,2: OL,8,ACC,Massachusetts
4,Renegades,Salesi Uhatafe,OG,Utah,2: OL,8,Pac 12,Utah
5,Vipers,Daronte Bouldin,OG,Ole Miss,2: OL,8,SEC,Mississippi
6,BattleHawks,James Murray,OC,Holy Cross,2: OL,8,FCS,Massachusetts
7,Dragons,Jordan Rose,OT,Idaho,2: OL,8,FBS - Sun Belt,Idaho
8,Wildcats,Lene Maiava,OT,Arizona,2: OL,8,Pac 12,Arizona
1,Wildcats,Tyler Roemer,OT,San Diego State,2: OL,9,FBS - Mountain West,California
2,Dragons,Robert Myers,OG,Tennessee State,2: OL,9,FCS,Tennessee
3,BattleHawks,Juwann Bushell-Beatty,OG,Michigan,2: OL,9,Big Ten,Michigan
4,Vipers,Marquis Lucas,OG,West Virginia,2: OL,9,Big 12,West Virginia
5,Renegades,John Keenoy,OG,Western Michigan,2: OL,9,FBS - MAC,Michigan
6,Guardians,Nate Theaker,OT,Wayne State,2: OL,9,D2,Michigan
7,Roughnecks,Marcus Applefield,OT,Virginia,2: OL,9,ACC,Virginia
8,Defenders,Chase Farris,OG,Ohio State,2: OL,9,Big Ten,Ohio
1,Defenders,Casey Tucker,OT,Arizona State,2: OL,10,Pac 12,Arizona
2,Roughnecks,Tayo Fabuluje,OT,TCU,2: OL,10,Big 12,Texas
