NAME,POS,COLLEGE
D'Juan Hines,LB,Houston
Ro'Derrick Hoskins,LB,Florida State
Andrew Jackson,LB,Western Kentucky
Jalen Johnson,LB,Georgia Tech
Jawuan Johnson,LB,Texas Christian
Kerron Johnson,LB,Coastal Carolina
Steven Johnson,LB,Kansas
Jordan Jones,LB,Kentucky
Taiwan Jones,LB,Michigan State
Junior Joseph,LB,Connecticut
Josh Kaddu,LB,Oregon
Keith Kelsey,LB,Louisville
Christian Kuntz,LB,Duquesne
Joel Lanning,LB,Iowa State
Brandon Lee,LB,Missouri
Darnell Leslie,LB,Monmouth
Drew Lewis,LB,Colorado
Totauhelotu Lotulelei,LB,Nevada-Las Vegas
Kavika Luafatasaga,LB,Utah
Jeff Luc,LB,Cincinnati
Greer Martini,LB,Notre Dame
Jonathan Massaquoi,LB,Troy
Boomer Mays,LB,Northern Illinois
Robert McCray,LB,Indiana
Chase Middleton,LB,Georgia State
Nyles Morgan,LB,Notre Dame
Rob Myers,LB,Minnesota State-Mankato
EJ Norris,LB,Shepherd
Reggie Northrop,LB,Florida State
Terrance Parks,LB,Florida State
Gionni Paul,LB,Utah
Brandon Payer,LB,Colorado State-Pueblo
Peyton Pelluer,LB,Washington State
Eric Pinkins,LB,San Diego State
Terrance Plummer,LB,Central Florida
Kyle Queiro,LB,Northwestern
Johnny Ragin,LB,Oregon
Jon Reschke,LB,Michigan State
Edmond Robinson,LB,Newberry
Javon Rolland-Jones,LB,Arkansas State
Anthony Sarao,LB,Southern California
Tegray Scales,LB,Indiana
Ty Schwab,LB,Boston College
Michael Shaw,LB,Georgia Southern
Sterling Sheffield,LB,Maine
Ed Shockley,LB,Villanova
Yawin Smallwood,LB,Connecticut
Will Smith,LB,Texas Tech
Ike Spearman,LB,Eastern Michigan
Jeremiah Spicer,LB,No College
Silas Stewart,LB,Incarnate Word
Anthony Stubbs,LB,Prairie View A&M
A.J. Tarpley,LB,Stanford
Nick Temple,LB,Cincinnati
Jameer Thurman,LB,Indiana State
Davis Tull,LB,Chattanooga
James Vaughters,LB,Stanford
Lucas Wacha,LB,Wyoming
Ryan Watson,LB,Air Force
Tre Watson,LB,Maryland
Brandon Watts,LB,Georgia Tech
Darrell Williams,LB,Auburn
Jaboree Williams,LB,Wake Forest
Tre' Williams,LB,Auburn
Anthony Wint,LB,Florida International
Scooby Wright,LB,Arizona
Juwon Young,LB,Marshall
Tenny Adewusi,CB,Delaware
Jude Adjei-Barimah,CB,Bowling Green
Terrence Alexander,CB,Louisiana State
Elijah Battle,CB,West Virginia
Malik Boynton,CB,Austin Peay
Donatello Brown,CB,Valdosta State
Ray Buchanan Jr,CB,Northern Iowa
Trey Caldwell,CB,Louisiana Monroe
Elijah Campbell,CB,Northern Iowa
Bryce Canady,CB,Florida International
Rashard Causey,CB,Central Florida
Bryce Cheek,CB,Akron
Reggie Cole,CB,Mary Hardin Baylor
Qua Cox,CB,Jackson State
Brandin Dandridge,CB,Missouri Western
Chris Davis,CB,Auburn
Davante Davis,CB,Texas
Jhavonte Dean,CB,Miami (FL)
Treston Decoud,CB,Oregon State
Lorenzo Doss,CB,Tulane
Clifton Duck,CB,Appalachian State
Greg Ducre,CB,Washington
Jaylen Dunlap,CB,Illinois
Lashard Durr,CB,Mississippi State
Artrel Foster-Bell,CB,Temple
John Franklin III,CB,Auburn
Justin Gibbons,CB,Aurora
Doran Grant,CB,Ohio State
Ladarius Gunter,CB,Miami (FL)
Heath Harding,CB,Miami (OH)
Josh Hawkins,CB,East Carolina
Will Hines,CB,Southeast Louisiana
Tyree Holder,CB,Ball State
Tyrin Holloway,CB,Western Illinois
Demontre Hurst,CB,Oklahoma
Charles James,CB,Charleston Southern
Joshua Jenkins,CB,Army
Jeremiah Johnson,CB,Concord (WV)
Anthoula Kelly,CB,Fresno State
Brendan Langley,CB,Lamar
Desmond Lawrence,CB,North Carolina
Travis Lee,CB,Miles
Bradford Lemmons,CB,Furman
Shelton Lewis,CB,Florida Atlantic
Jay Liggins,CB,Dickinson State
Christopher Love,CB,East Carolina
Justin Martin,CB,Tennessee
Tre Mathis,CB,Toledo
Jeremiah McKinnon,CB,Florida International
Harlan Miller,CB,Southeast Louisiana
Dakari Monroe,CB,San Jose State
C.J Moore,CB,North Carolina Central
Sterling Moore,CB,Southern Methodist
KJ Morton,CB,Baylor
Darius Mouton,CB,Nevada-Las Vegas
Najee Murray,CB,Kent State
Jalen Myrick,CB,Minnesota
DeJuan Neal,CB,Shepherd
J.R. Nelson,CB,Montana
Picasso Nelson,CB,Southern Mississippi
Robert Nelson,CB,Arizona State
Deatrick Nichols,CB,South Florida
Deji Olatoye,CB,North Carolina A&T
Brian Peavy,CB,Iowa State
Aarion Penton,CB,Missouri
Jamal Peters,CB,Mississippi State
Dashaun Phillips,CB,Tarleton State
Jermaine Ponder,CB,St. Francis
Jackson Porter,CB,Massachusettes
Raysean Pringle,CB,Southern Utah
Joseph Putu,CB,Florida
Rodney Randle,CB,Lamar
Malik Reaves,CB,Villanova
Dante Redwood,CB,Mercyhurst
Trovon Reed,CB,Auburn
Denzel Rice,CB,Coastal Carolina
David Rivers,CB,Youngstown State
CJ Roberts,CB,Colorado State-Pueblo
Jermaine Robinson,CB,Toledo
Joel Ross,CB,Appalachian State
Nydair Rouse,CB,West Chester
Mohammed Seisay,CB,Nebraska
JaCorey Shepherd,CB,Kansas
David Simmons,CB,North Park
Albert Smalls,CB,Northern Illinois
C.J. Smith,CB,North Dakota State
Arrion Springs,CB,Oregon
Mike Stevens,CB,North Carolina State
Channing Stribling,CB,Michigan
Jamar Summers,CB,Connecticut
Bradley Sylve,CB,Alabama
Arnold Tarpley,CB,Vanderbilt
Roman Tatum,CB,Southern Illinois
Robert Taylor,CB,Washington State
Ranthony Texada,CB,Texas Christian
Brayleon Thorns,CB,Southeast Louisiana
Jack Tocho,CB,North Carolina State
D'Montre Wade,CB,Murray State
Zeke Walker,CB,Southeast Louisiana
Cleveland Wallace,CB,San Jose State
Malik Warner,CB,Wagner
Herb Waters,CB,Miami (FL)
Nick Watkins,CB,Houston
Ian Wells,CB,Ohio
Marquez White,CB,Florida State
Oscar White,CB,Dubuque
Ryan White,CB,Auburn
Darius Williams,CB,Colorado State-Pueblo
Jamarkese Williams,CB,Incarnate Word
Omari Williams,CB,Samford
Raekwon Williams,CB,Florida Atlantic
Steve Williams,CB,California
Khalid Wooten,CB,Nevada-Reno
Jordan Wyatt,CB,Southern Methodist
Devin Abraham,SAF,South Florida
Kendall Adams,SAF,Kansas State
Jarell Addo,SAF,Massachusettes
Dravon Askew-Henry,SAF,West Virginia
Parker Baldwin,SAF,San Diego State
Marcus Ball,SAF,Memphis
Mike Bell,SAF,Fresno State
Dashawn Benton,SAF,East Carolina
Marcelis Branch,SAF,Robert Morris
Kentrell Brice,SAF,Louisiana Tech
Cody Brown,SAF,Arkansas State
Christian Bryant,SAF,Ohio State
Tere Calloway,SAF,Alabama A&M
Deshawn Capers-Smith,SAF,Texas A&M
Michael Cirino,SAF,Adams State
Jonathan Cook,SAF,Memphis
Jerome Couplin,SAF,William & Mary
Demetrious Cox,SAF,Michigan State
Erick Dargan,SAF,Oregon
Garrett Davis,SAF,Houston
Lukas Denis,SAF,Boston College
Marsean Diggs,SAF,Alabama-Birmingham
K.J. Dillon,SAF,West Virginia
Ahmad Dixon,SAF,Baylor
Kurtis Drummond,SAF,Michigan State
SaQwan Edwards,SAF,New Mexico
Matt Elam,SAF,Florida
Trae Elston,SAF,Mississippi
Kyle Gibson,SAF,Central Florida
Randall Goforth,SAF,UCLA
Tyson Graham,SAF,South Dakota
John Green,SAF,Connecticut
Micah Hannemann,SAF,Brigham Young
Jalen Harvey,SAF,Arizona State
Zuril Hendrick,SAF,Edinboro
Will Hill,SAF,Florida
Marqueston Huff,SAF,Wyoming
Doyin Jibowu,SAF,Fort Hays State
Jah'Shawn Johnson,SAF,Texas Tech
Stephan Johnson,SAF,Texas State
Hootie Jones,SAF,Alabama
Ray Jones,SAF,Delaware
Tyree Kinnel,SAF,Michigan
Christian Love,SAF,Henderson State
Max Lyons,SAF,Southeast Louisiana
Tyrell Lyons,SAF,Valdosta State
Brandon Maiden,SAF,Jackson State
Jordan Martin,SAF,Syracuse
Ronald Martin,SAF,Louisiana State
Dexter McCoil,SAF,Toledo
Danzel McDaniel,SAF,Kansas State
Jojo McIntosh,SAF,Washington
Montrel Meander,SAF,Grambling State
Carlos Merritt,SAF,Campbell
Herb Miller,SAF,Florida Atlantic
Tray Mitchell,SAF,Eastern Illinois
Ryan Moeller,SAF,Colorado
Joshua Moon,SAF,Georgia Southern
Rahim Moore,SAF,UCLA
Jacob Onyechi,SAF,Air Force
Nick Orr,SAF,Texas Christian
Fred Payne,SAF,Western Carolina
Joe Powell,SAF,Globe Tech
Jordan Powell,SAF,Widner
Robert Priester,SAF,Wyoming
Santos Ramirez,SAF,Arkansas
Delvon Randall,SAF,Temple
Mandell Ray,SAF,Morehouse
Max Redfield,SAF,Indiana (PA)
Ed Reynolds,SAF,Stanford
Stephen Roberts,SAF,Auburn
Kenny Robinson,SAF,West Virginia
Al-Hajj Shabazz,SAF,West Chester
Tyler Sigler,SAF,Wheaton
Derron Smith,SAF,Fresno State
Van Smith,SAF,Clemson
Andrew Soroh,SAF,Florida Atlantic
Tre Sullivan,SAF,Shepherd
Wes Sutton,SAF,Northern Arizona
Damian Swann,SAF,Georgia
Aaron Taylor,SAF,Ball State
Gregory Taylor,SAF,Wesley
Robenson Therezie,SAF,Auburn
Jake Thienman,SAF,Purdue
Marvin Tillman,SAF,West Carolina
Damarius Travis,SAF,Minnesota
Jeremy Tyler,SAF,West Virginia
Verkedric Vaughns,SAF,Baylor
Jaleel Wadood,SAF,UCLA
Abraham Wallace,SAF,West Alabama
Nick Washington,SAF,Florida
Damon Webb,SAF,Ohio State
Shaquille Wiggins,SAF,Louisville
LaDarius WIley,SAF,Vanderbilt
Kieron Williams,SAF,Nebraska
Evan Worthington,SAF,Colorado
Roberto Aguayo,K,Florida State
John Baron,K,San Diego State
Tyler Basch,K,Missouri Western
Andrew Franks,K,RPI
Elliott Fry,K,South Carolina
Josh Gable,K,No College
Diego Gonzalez,K,Colorado
Cole Hedlund,K,North Texas
Redford Jones,K,Tulsa
Greg Joseph,K,Florida Atlantic
Austin MacGinnis,K,Kentucky
Nick Novak,K,Maryland
Erik Powell,K,Washington State
Ty Rausa,K,Boise State
Taylor Russolino,K,Millsaps
Ryan Santoso,K,Minnesota
Cole Tracy,K,Louisiana State
Tristan Vizcaino,K,Washington
Matthew Wright,K,Central Florida
Ryan Anderson,P,Rutgers
Ian Berryman,P,Western Carolina
Cory Carter,P,Texas Southern
Jordan Dascalo,P,Eastern Washington
Jack Fox,P,Rice
Drew Galitz,P,Baylor
Jeff Locke,P,UCLA
Brock Miller,P,Southern Utah
Tyler Newsome,P,Notre Dame
Hunter Niswander,P,Northwestern
Cameron Nizialek,P,Georgia
Austin Rehkow,P,Idaho
Colton Schmidt,P,California-Davis
Jake Schum,P,Buffalo
Sean Smith,P,Dayton
Taylor Symmank,P,Texas Tech
Shane Tripucka,P,Texas A&M
Justin Vogel,P,Miami (FL)
Brad Wing,P,Louisiana State
Joseph Zema,P,Incarnate Word
Noah Borden,LS,Hawaii
Nate Boyer,LS,Texas
Tanner Carew,LS,Oregon
Scott Daly,LS,Notre Dame
Ryan DiSalvo,LS,San Jose State
Wes Farnsworth,LS,Nevada-Reno
Drew Ferris,LS,Florida
James Fisher,LS,North Dakota State
Joe Fortunato,LS,Delaware
Austin Frey,LS,Texas A&M
Owen Gilbert,LS,Marian
AJ Hantak,LS,Eastern Illinois
Seth Hebert,LS,Central Missouri
Colin Holba,LS,Louisville
Paul Kelly,LS,Miami (FL)
Nick Moore,LS,Georgia
Ryan Navarro,LS,Oregon State
Joe Rotherham,LS,Nebraska
Colton Taylor,LS,Virginia Tech
Alonso Vera,LS,California
John Wirtel,LS,Kansas
