NAME,POS,COLLEGE,CONFERENCE,STATE
John Thomas,RB,Penn State,Big Ten,Pennsylvania
Lexington Thomas,RB,Nevada-Las Vegas,,
Mark Thompson,RB,Florida,SEC,Florida
Lenard Tillery,RB,Southern,FCS,Louisiana
Xavier Turner,RB,Incarnate Word,FCS,Texas
Darius Victor,RB,Towson,FCS,Maryland
Akrum Wadley,RB,Iowa,Big Ten,Iowa
Terron Ward,RB,Oregon State,Pac 12,Oregon
Aca'Cedric Ware,RB,Southern California,,
Mike Warren,RB,Iowa State,Big 12,Iowa
Trey Watts,RB,Tulsa,FBS - AAC,Oklahoma
Jody Webb,RB,Youngstown State,FCS,Ohio
Ralph Webb,RB,Vanderbilt,SEC,Tennessee
Brandon Wilds,RB,South Carolina,SEC,South Carolina
Andre Williams,RB,Boston College,ACC,Massachusetts
Boom Williams,RB,Kentucky,SEC,Kentucky
James Williams,RB,Washington State,Pac 12,Washington
Malik Williams,RB,Louisville,ACC,Kentucky
Marquez Williams,RB,Miami (FL),ACC,Florida
Trey Williams,RB,Texas A&M,SEC,Texas
Marquis Young,RB,Massachusettes,,
Ryan Yurachek,RB,Marshall,FBS - CUSA,West Virginia
Carlton Agudosi,WR,Rutgers,Big Ten,New Jersey
Deontez Alexander,WR,Franklin College,,
Floyd Allen,WR,Mississippi,,
Anthony Amos,WR,Middle Tennessee State,,
Dres Anderson,WR,Utah,Pac 12,Utah
Demarcus Ayers,WR,Houston,FBS - AAC,Texas
Jeff Badet,WR,Oklahoma,Big 12,Oklahoma
Kenny Bell,WR,Nebraska,Big Ten,Nebraska
Raymond Bolden,WR,Stony Brook,FCS,New York
Marvin Bracy-Williams,WR,Florida State,ACC,Florida
Jack Bramswig,WR,Boston College,ACC,Massachusetts
Frank Brown,WR,Bethune Cookman,,
Ryan Broyles,WR,Oklahoma,Big 12,Oklahoma
Dontez Byrd,WR,Tennessee Tech,FCS,Tennessee
KD Cannon,WR,Baylor,Big 12,Texas
Sammie Coates,WR,Auburn,SEC,Alabama
Stacy Coley,WR,Miami (FL),ACC,Florida
Joshua Crockett,WR,Central Oklahoma,D2,Oklahoma
Jamal Custis,WR,Syracuse,ACC,New York
Rashard Davis,WR,James Madison,FCS,Virginia
Ryan Davis,WR,Auburn,SEC,Alabama
Kahlil Dawson,WR,Portland State,FCS,Oregon
Delfonte Diamond,WR,McMurry,D2,Texas
John Diarse,WR,Texas Christian,,
Kenzel Doe,WR,Wisconsin,Big Ten,Wisconsin
Steven Dunbar,WR,Houston,FBS - AAC,Texas
Travin Dural,WR,Louisiana State,,
Donteea Dye,WR,Heidelberg,D3,Ohio
Ed Eagan,WR,Northwestern State,FCS,Louisiana
Matthew Eaton,WR,Iowa State,Big 12,Iowa
DeVozea Felton,WR,Tuskegee,D2,Alabama
Dontez Ford,WR,Pittsburgh,,
Jacoby Ford,WR,Clemson,ACC,South Carolina
Armanti Foreman,WR,Texas,Big 12,Texas
Jordon Gandy,WR,Murray State,FCS,Kentucky
Keyarris Garrett,WR,Tulsa,FBS - AAC,Oklahoma
Tanner Gentry,WR,Wyoming,FBS - Mountain West,Wyoming
Devin Gray,WR,Cincinnati,FBS - AAC,Ohio
Donald Gray,WR,Mississippi State,SEC,Mississippi
Davon Grayson,WR,East Carolina,FBS - AAC,North Carolina
Jalen Greene,WR,Utah State,FBS - Mountain West,Utah
Antoine Griffin,WR,West Florida,,
Fabian Guerra,WR,Fairmont State,D2,West Virginia
Jalen Guyton,WR,North Texas,FBS - CUSA,Texas
Rannell Hall,WR,Central Florida,,
Karel Hamilton,WR,Samford,FCS,Alabama
DeQuan Hampton,WR,Southern California,,
J-Shun Harris,WR,Indiana,Big Ten,Indiana
Delane Hart-Johnson,WR,New Mexico,FBS - Mountain West,New Mexico
Matt Hazel,WR,Coastal Carolina,FCS,South Carolina
Jerrod Heard,WR,Texas,Big 12,Texas
Dominique Heath,WR,Appalachian State,FBS - Sun Belt,North Carolina
Quadree Henderson,WR,Pittsburgh,,
Timmy Hernandez,WR,Oregon State,Pac 12,Oregon
Treydonte Hill,WR,Western New Mexico,D2,New Mexico
Mikah Holder,WR,San Diego State,FBS - Mountain West,California
Deion Holliman,WR,Missouri State,FCS,Missouri
Reece Horn,WR,Indianapolis,D2,Indiana
Joe Horn Jr,WR,Missouri Western State,D2,Missouri
Alton Howard,WR,Tennessee,SEC,Tennessee
Johnathan Howard,WR,North Carolina,ACC,North Carolina
Chris Hubert,WR,Fayetteville State,D2,North Carolina
Isaiah Huston,WR,Arizona Christian,,
Ishmael Hyman,WR,James Madison,FCS,Virginia
Trenton Irwin,WR,Stanford,Pac 12,California
Blake Jackson,WR,Mary Hardin Baylor,,
Chuck Jacobs,WR,Utah State,FBS - Mountain West,Utah
Taivon Jacobs,WR,Maryland,Big Ten,Maryland
Levern Jacobs III,WR,Maryland,Big Ten,Maryland
Damion Jeanpiere,WR,Nicholls State,FCS,Louisiana
Adonis Jennings,WR,Temple,FBS - AAC,Pennsylvania
Garrett Johnson,WR,Kentucky,SEC,Kentucky
Charlie Jones,WR,American,,
Jamaal Jones,WR,Montana,FCS,Montana
Malachi Jones,WR,Appalachian State,FBS - Sun Belt,North Carolina
Seantavius Jones,WR,Valdosta State,D2,Georgia
Lamar Jordan,WR,New Mexico,FBS - Mountain West,New Mexico
Anthony Kelly,WR,Kutztown,D2,Pennsylvania
Jordan Lasley,WR,UCLA,Pac 12,California
Terrence Lee-Alls,WR,James Madison,FCS,Virginia
Ralph Leonard,WR,Southern Illinois,FCS,Illinois
Jordan Leslie,WR,Brigham Young,,
Kahlil Lewis,WR,Cincinnati,FBS - AAC,Ohio
TommyLee Lewis,WR,Northern Illinois,FBS - MAC,Illinois
Justice Liggins,WR,Stephen F. Austin,FCS,Texas
Stephen Louis,WR,North Carolina State,,
Yedidiah Louis,WR,Sam Houston State,FCS,Texas
Keevan Lucas,WR,Tulsa,FBS - AAC,Oklahoma
Marcus Lucas,WR,Missouri,SEC,Missouri
Devin Lucien,WR,Arizona State,Pac 12,Arizona
Tim Lukas,WR,Illinois,Big Ten,Illinois
Rhyeem Malone,WR,Louisiana,,
Freddie Martino,WR,North Greenville,D2,South Carolina
KJ Maye,WR,Minnesota,Big Ten,Minnesota
Tre McBride,WR,William & Mary,FCS,Virginia
Max McCaffrey,WR,Duke,ACC,North Carolina
Tyre McCants,WR,South Florida,FBS - AAC,Florida
Codey McElroy,WR,Oklahoma State,Big 12,Oklahoma
Mekale McKay,WR,Cincinnati,FBS - AAC,Ohio
Gary McKnight,WR,Northeastern State,D2,Oklahoma
Kelvin McKnight,WR,Samford,FCS,Alabama
Robert Meachem,WR,Tennessee,SEC,Tennessee
Octayvius Miles,WR,Alabama A&M,FCS,Alabama
Sam Mobley,WR,Catawba,,
Alonzo Moore,WR,Nebraska,Big Ten,Nebraska
Richard Mullaney,WR,Oregon State,Pac 12,Oregon
Keith Mumphery,WR,Michigan State,Big Ten,Michigan
Reuben Mwehla,WR,Idaho,FBS - Sun Belt,Idaho
Flynn Nagel,WR,Northwestern,Big Ten,Illinois
Durron Neal,WR,Oklahoma,Big 12,Oklahoma
Thomas Owens,WR,Florida International,FBS - CUSA,Florida
Tyler Palka,WR,Gannon,D2,Pennsylvania
Tobais Palmer,WR,North Carolina State,,
Vinny Papale,WR,Delaware,FCS,Delaware
Damoun Patterson,WR,Youngstown State,FCS,Ohio
Colby Pearson,WR,Brigham Young,,
Troy Pelletier,WR,Lehigh,FCS,Pennsylvania
Ervin Philips,WR,Syracuse,ACC,New York
Cam Phillips,WR,Virginia Tech,ACC,Virginia
De'Mornay Pierson-El,WR,Nebraska,Big Ten,Nebraska
Edgar Poe,WR,Army,FBS - Independent,Kansas
Darius Prince,WR,Penn State-Beaver,,
Austin Proehl,WR,North Carolina,ACC,North Carolina
James Quick,WR,Louisville,ACC,Kentucky
Willie Quinn,WR,Southern,FCS,Louisiana
Brandon Reilly,WR,Nebraska,Big Ten,Nebraska
Keenan Reynolds,WR,Navy,FBS - AAC,Maryland
Korey Robertson,WR,Southern Mississippi,,
Fred Ross,WR,Mississippi State,SEC,Mississippi
Kayaune Ross,WR,Kentucky,SEC,Kentucky
Rashad Ross,WR,Arizona State,Pac 12,Arizona
Jalen Rowell,WR,Air Force,FBS - Mountain West,Colorado
Ezell Ruffin,WR,San Diego State,FBS - Mountain West,California
Xavier Rush,WR,Tulane,FBS - AAC,Louisiana
Alonzo Russell,WR,Toledo,FBS - MAC,Ohio
Brian Sandifer,WR,Wisconsin-Stout,,
John Santiago,WR,North Dakota,FCS,North Dakota
Jalen Saunders,WR,Oklahoma,Big 12,Oklahoma
Qua Searcy,WR,Georgia Tech,ACC,Georgia
Gerrard Sheppard,WR,Towson,FCS,Maryland
Brandon Shippen,WR,Temple,FBS - AAC,Pennsylvania
Terrell Sinkfield,WR,Northern Iowa,FCS,Iowa
Jordan Smallwood,WR,Oklahoma,Big 12,Oklahoma
Jaylen Smith,WR,Louisville,ACC,Kentucky
Patrick Smith,WR,Tennessee State,FCS,Tennessee
Riley Smith,WR,West Texas A&M,D2,Texas
Kamrin Solomon,WR,Florida Atlantic,FBS - CUSA,Florida
Nelson Spruce,WR,Colorado,Pac 12,Colorado
Josh Stewart,WR,Texas-San Antonio,,
Kyle Sweet,WR,Washington State,Pac 12,Washington
Ron'Quavion Tarver,WR,Nevada-Reno,,
Justin Thomas,WR,Georgia Tech,ACC,Georgia
DeAndre Thompkins,WR,Penn State,Big Ten,Pennsylvania
Carlos Thompson,WR,Independance CC,,
Chris Thompson,WR,Florida,SEC,Florida
Jalen Tolliver,WR,Arkansas-Monticello,D2,Arkansas
Jonah Trinnamen,WR,Brigham Young,,
Aaren Vaughns,WR,Utah State,FBS - Mountain West,Utah
Joe Walker,WR,Delaware,FCS,Delaware
L'Damian Washington,WR,Missouri,SEC,Missouri
Jamarius Way,WR,South Alabama,FBS - Sun Belt,Alabama
Jordan Westerkamp,WR,Nebraska,Big Ten,Nebraska
Kermit Whitfield,WR,Florida State,ACC,Florida
Carl Whitley,WR,Abilene Christian,FCS,Texas
Daniel Williams,WR,Jackson State,FCS,Mississippi
Kasen Williams,WR,Washington,Pac 12,Washington
Taj Williams,WR,Texas Christian,,
Terrance Williams,WR,Baylor,Big 12,Texas
Malik Wilson,WR,North Carolina A&T,FCS,North Carolina
Tim Wilson,WR,East Stroudsburg,D2,Pennsylvania
Kendall Wright,WR,Baylor,Big 12,Texas
DeAngelo Yancey,WR,Purdue,Big Ten,Indiana
Isaac Zico,WR,Purdue,Big Ten,Indiana
Julian Allen,TE,Southern Mississippi,,
Jace Amaro,TE,Texas Tech,Big 12,Texas
Nate Askew,TE,Texas A&M,SEC,Texas
Tanner Balderree,TE,Brigham Young,,
Brandon Barnes,TE,Alabama State,FCS,Alabama
Dillon Beard,TE,Southern,FCS,Louisiana
EJ Bibbs,TE,Iowa State,Big 12,Iowa
Romello Brooker,TE,Houston,FBS - AAC,Texas
Kyle Carter,TE,Penn State,Big Ten,Pennsylvania
Orson Charles,TE,Georgia,SEC,Georgia
Gerald Christian,TE,Louisville,ACC,Kentucky
Darion Clark,TE,Southern California,,
Cam Clear,TE,Texas A&M,SEC,Texas
Zach Conque,TE,Stephen F. Austin,FCS,Texas
Micky Crum III,TE,Louisville,ACC,Kentucky
Connor Davis,TE,Stony Brook,FCS,New York
Fred Davis,TE,Southern California,,
Anthony Denham,TE,Utah,Pac 12,Utah
Elkanah Dillon,TE,South Florida,FBS - AAC,Florida
Jonathan Dorsey,TE,Alabama A&M,FCS,Alabama
Aaron Evans,TE,Central Florida,,
DeAndre Goolsby,TE,Florida,SEC,Florida
Connor Hamlett,TE,Oregon State,Pac 12,Oregon
Clay Harbor,TE,Missouri State,FCS,Missouri
Jackson Harris,TE,Georgia,SEC,Georgia
Derrick Hayward,TE,Maryland,Big Ten,Maryland
Garrett Hudson,TE,Richmond,FCS,Virginia
Cole Hunt,TE,Texas Christian,,
Colin Jeter,TE,Louisiana State,,
Ben Johnson,TE,Kansas,Big 12,Kansas
Jalyn Judkins,TE,Angelo State,D2,Texas
Carter Kirk,TE,Southwest Minnesota State,D2,Minnesota
Khari Lee,TE,Bowie State,D2,Maryland
C'yontai Lewis,TE,Florida,SEC,Florida
Jake McGee,TE,Florida,SEC,Florida
Pharoah McKever,TE,Florida International,FBS - CUSA,Florida
Cordon Moog,TE,Baylor,Big 12,Texas
Scott Orndoff,TE,Pittsburgh,,
Donald Parham,TE,Stenson,,
Tyler Petite,TE,Southern California,,
Jake Powell,TE,Monmouth,FCS,New Jersey
Jake Powell,TE,Monmouth,D3,Illinois
Sean Price,TE,South Florida,FBS - AAC,Florida
Stehly Reden,TE,Texas A&M-Kingsville,D2,Texas
Darryl Richardson,TE,San Diego State,FBS - Mountain West,California
Ellis Richardson,TE,Georgia State,FBS - Sun Belt,Georgia
Kalias Robertson,TE,Alabama A&M,FCS,Alabama
Adrien Robinson,TE,Cincinnati,FBS - AAC,Ohio
Jevoni Robinson,TE,Berry,D3,Georgia
Evan Rodriguez,TE,Temple,FBS - AAC,Pennsylvania
Jay Rome,TE,Georgia,SEC,Georgia
Weslye Saunders,TE,South Carolina,SEC,South Carolina
Wes Saxton,TE,South Alabama,FBS - Sun Belt,Alabama
Cameron Serigne,TE,Wake Forest,ACC,North Carolina
Ryan Smith,TE,Miami (OH),FBS - MAC,Ohio
Johnny Stanton,TE,Nevada-Las Vegas,,
Moral Stephens Jr,TE,Florida,SEC,Florida
Jake Sutherland,TE,Morehead State,FCS,Kentucky
Kent Taylor,TE,Texas-El Paso,,
Brett Thompson,TE,Tennessee-Martin,,
Colin Thompson,TE,Temple,FBS - AAC,Pennsylvania
Keith Towbridge,TE,Louisville,ACC,Kentucky
Nick Truesdell,TE,Grand Rapids JC,,
Dimitrios Tsesmetzis,TE,Western Connecticut State,,
Eric Wallace,TE,Seattle,,
Matt Weiser,TE,Buffalo,FBS - MAC,New York
Nic Weishar,TE,Notre Dame,FBS - Independent,Indiana
Cole Wick,TE,Incarnate Word,FCS,Texas
Clayton Wilson,TE,Northwest Missouri State,D2,Missouri
Marcus Applefield,OT,Virginia,ACC,Virginia
Fisayo Awolaja,OT,Northern Colorado,FCS,Colorado
Isaiah Battle,OT,Clemson,ACC,South Carolina
Willie Beavers,OT,Western Michigan,FBS - MAC,Michigan
Adrian Bellard,OT,Texas State,FBS - Sun Belt,Texas
Jonte Berry,OT,Northwest Missouri State,D2,Missouri
Adam Bisnowaty,OT,Pittsburgh,,
Lanard Bonner,OT,Arkansas State,FBS - Sun Belt,Arkansas
Cole Boozer,OT,Temple,FBS - AAC,Pennsylvania
Kevin Bowen,OT,East Central (OK),,
Michael Bowie,OT,Oklahoma State,Big 12,Oklahoma
Darrell Brown,OT,Louisiana Tech,FBS - CUSA,Louisiana
Sean Brown,OT,Mississippi Valley State,FCS,Mississippi
Kendall Calhoun,OT,Cincinnati,FBS - AAC,Ohio
Nick Callender,OT,Colorado State,FBS - Mountain West,Colorado
Blake Camper,OT,South Carolina,SEC,South Carolina
Daniel Cooney,OT,San Diego,FCS,California
Will Corbin,OT,Appalachian State,FBS - Sun Belt,North Carolina
Gerhard de Beer,OT,Arizona,Pac 12,Arizona
Thomas Doles,OT,Northwestern,Big Ten,Illinois
Michael Dunn,OT,Maryland,Big Ten,Maryland
Quinterrius Eatmon,OT,South Florida,FBS - AAC,Florida
Cornelius Edison,OT,Portland State,FCS,Oregon
Justin Evans,OT,South Carolina State,FCS,South Carolina
Tayo Fabuluje,OT,Texas Christian,,
Brian Fineanganofo,OT,Idaho State,FCS,Idaho
Cole Gardner,OT,Eastern Michigan,FBS - MAC,Michigan
Avery Gennesy,OT,Texas A&M,SEC,Texas
Joe Gore,OT,Clemson,ACC,South Carolina
Christian Harris,OT,Duke,ACC,North Carolina
Randall Harris,OT,Towson,FCS,Maryland
Brandon Haskin,OT,Tennessee State,FCS,Tennessee
Donald Hawkins,OT,Texas,Big 12,Texas
Jonathan Haynes,OT,Stony Brook,FCS,New York
Taylor Hearn,OT,Clemson,ACC,South Carolina
Jeremy Hickey,OT,Eastern Michigan,FBS - MAC,Michigan
Brandon Hodges,OT,Texas,Big 12,Texas
Martez Ivey,OT,Florida,SEC,Florida
Dominick Jackson,OT,Alabama,SEC,Alabama
Darius James,OT,Auburn,SEC,Alabama
Leon Johnson,OT,Temple,FBS - AAC,Pennsylvania
Jarron Jones,OT,Notre Dame,FBS - Independent,Indiana
Avery Jordan,OT,New Mexico,FBS - Mountain West,New Mexico
Matt Kauffman,OT,Towson,FCS,Maryland
John Kling,OT,Buffalo,FBS - MAC,New York
Cyrus Kouandjio,OT,Alabama,SEC,Alabama
Gerard Kough,OT,Colorado,Pac 12,Colorado
Voghens Larrieux,OT,Coastal Carolina,FCS,South Carolina
Patrick Lawrence,OT,Baylor,Big 12,Texas
Javarius Leamon,OT,South Carolina State,FCS,South Carolina
Miguel Machado,OT,Michigan State,Big Ten,Michigan
Lene Maiava,OT,Arizona,Pac 12,Arizona
